Data,Hora,Preco,Tipo
2025-09-26,09:00,5370.52,AJUSTE
2025-09-26,09:18,5364.5,POC_COMPRA
2025-09-26,09:19:21,5365.5,JABULANI_C
2025-09-26,09:26,5364,POC_VENDA
2025-09-26,09:26:12,5363.5,JABULANI_V
2025-09-26,09:33,5363,POC_COMPRA
2025-09-26,09:33:21,5361.5,JABULANI_C
2025-09-26,09:43,5362,POC_VENDA
2025-09-26,09:43:39,5361,JABULANI_V
2025-09-26,09:54,5355.5,POC_COMPRA
2025-09-26,09:56:56,5357,JABULANI_C
2025-09-26,10:00,5353,POC_VENDA
2025-09-26,10:00:27,5352,JABULANI_V
2025-09-26,10:17,5345.5,POC_COMPRA
2025-09-26,10:19:27,5348,JABULANI_C
2025-09-26,10:34,5355,POC_VENDA
2025-09-26,10:44:56,5352,JABULANI_V
2025-09-26,10:56:35,5357.5,JABULANI_C
2025-09-26,11:02:06,5351,JABULANI_V
2025-09-26,11:09:30,5356.5,JABULANI_C
2025-09-26,11:12:47,5351,JABULANI_V
